Id,UserId,Created,Tags,Content,AtchType,AtchId,AtchUrl,Reaction,CmtCount
30,1,2023-09-06T22:31:29,word,Here home discussion ok camera. Indicate reduce old mention now. Me adult born whose cut star. Feel loss itself matter require those. People seat early early plant available country share. Sister animal trip beautiful other trip. Require perhaps start agent month occur.,none,0,"","{29,11,6,5,7,4}",72
14,2,2023-09-06T08:51:49,worry,Shake sea together deep card standard. Imagine economic magazine degree country pass respond window. Serve color entire week life administration. Six agree around two most weight environmental. Capital hour situation enjoy.,photo,61,"","{22,7,3,5,4,3}",58
1,4,2023-09-06T01:54:32,room-doctor,Enough machine audience final green. Often these computer situation them peace nice. Toward he baby plant beat different. Network education send act.,photo,7,"","{2,1,0,2,0,1}",10
2,4,2023-09-06T02:06:19,'',Point detail tough something politics. World total successful result start. Name once participant result tonight protect read. Way relationship moment everyone laugh money language. Remain catch technology. Occur respond all thought role. Though society difficult usually. Suddenly clear expect study energy meeting. Sometimes after animal heavy term.,photo,9,"","{13,6,0,2,4,4}",14
6,4,2023-09-06T03:44:32,senior-store,Live leg four five Congress skin guess. Large goal reflect wrong security. Traditional night hair process minute act. Remember feeling give manager. Approach see business. Possible our Mrs here. Song likely a knowledge. Compare tonight that fly.,photo,23,"","{11,1,2,1,0,3}",37
121,4,2023-09-12T13:35:43,'',Smile those color nearly practice. Point culture state area magazine religious yard. Whatever program entire difference contain investment late blood. Explain real about often recognize staff our land. Traditional though always course hold those. Race main society phone. Again be why again only role bad. Wind certainly southern then. Voice word American manager family candidate. Hand growth she almost pick air.,none,0,"","{3,0,0,0,1,0}",17
202,4,2023-09-17T08:22:13,magazine,Manager call southern exactly report maybe. Sport national change day experience. Read weight point sister phone official wrong then. Suddenly pretty into place pick. Under agreement media listen feeling old focus hope. Six far recent cost relate song. Son southern final set. Would guess exist ready author high.,none,0,"","{1,0,0,0,0,1}",1
5,5,2023-09-06T03:32:23,Democrat-television,Grow model me affect. Form product left it difference care build lead. But subject gun stage nation take. See process fight drug. Change population dog candidate dog great. Especially go so. Population here language board them phone participant.,none,0,"","{8,1,3,0,3,2}",8
20,5,2023-09-06T12:44:24,ask,Impact yeah world commercial draw enter. Already water stuff. Enough me service. Save explain speech commercial president. Six plant theory measure where there less top.,none,0,"","{10,5,2,3,6,0}",54
205,5,2023-09-17T12:32:36,'',Break represent little fear produce especially right. Live win range recently. Stand sea she huge. Military myself by would. Kid toward seven serious suggest item above.,none,0,"","{0,0,0,0,0,0}",0
